
name,price,pulish,commit
基于,59.30,,4700+
编程 从入门到实践,70.20,人民邮电出版社65周年社庆,14万+
基础教程（第3版）,78.00,人民邮电出版社65周年社庆,14万+
零基础学,56.40,明日科技自营店,3.3万+
利用,95.80,机械工业出版社,2.6万+
核心编程（第3版）,78.00,人民邮电出版社65周年社庆,14万+
笨办法学,48.20,人民邮电出版社65周年社庆,14万+
从入门到项目实践（全彩版）,77.00,明日科技自营店,3.3万+
 3网络爬虫开发实战,78.00,人民邮电出版社65周年社庆,9800+
正版 玩转Django 2.0 黄永祥 ,48.50,恒久图书专营店,0
数据分析,48.20,人民邮电出版社65周年社庆,2100+
零起点TensorFlow快速入门+机器学习快速入门+量化投资以,231.00,兰兴达图书专营店,0
毫无障碍学,49.30,中国水利水电出版社,900+
现货  “笨办法”学,38.50,经纶风图书专营店,60+
人民邮电：,75.00,新世纪图书专营店,4
编程（第4版 套装上下册）,157.00,中国电力出版社,2.5万+
流畅的,109.60,人民邮电出版社65周年社庆,14万+
零基础入门学习-水木书荟,44.10,清华大学出版社,10万+
从菜鸟到高手,113.90,清华大学出版社,10万+
神经网络编程,54.40,人民邮电出版社65周年社庆,5.5万+
编程快速上手 让繁琐工作自动化,56.40,人民邮电出版社65周年社庆,14万+
参考手册（第4版·修订版）,66.70,墨马图书旗舰店,10+
爬虫框架Scrapy 计算机类-软件开发 迪米特里,29.50,友杰图书专营店,0
编程从入门到实践 基础教程 核心编程,59.80,华心图书专营店,40+
基础教程（第2版 修订版）,59.80,杰城图书专营店,5
Abaqus GUI程序开发指南 ,42.10,华心图书专营店,0
网络编程 Linux 选用系统运维 容易入门的,31.40,书虫图书专营店,1
21天学通,47.10,电子工业出版社,200+
包邮 【扫码看视频】笨办法学,116.80,兰兴达图书专营店,30+
包邮 玩转Django 2.0+玩转,98.50,蓝墨水图书专营店,0
零基础入门学习,49.00,凤凰新华书店旗舰店,80+
包邮PySpark实战指南 利用,80.80,义博图书专营店,40+
像计算机科学家一样思考,30.90,文轩网旗舰店,60+
包邮,93.60,蓝墨水图书专营店,30+
正版 从零开始学,66.60,世纪书缘专营店,0
全栈开发实践入门 图书 计算机与互联网 编程语言与程序设计,55.20,读买天下图书专营店,0
父与子的编程之旅 与小卡特一起学,46.00,墨马图书旗舰店,100+
程序设计 第3版,38.00,华心图书专营店,0
核心编程 第3版 英文版 [美] 卫斯理 春(Wesley Chun) 978,57.42,博远慧达图书专营店,2
包邮,110.80,义博图书专营店,3
全栈开发实践入门  ,48.00,五星同辉图书专营店,0
Micro,40.80,五星同辉图书专营店,0
包邮 编程导论 以,53.80,春雨图书专营店,0
【R】深度学习入门 基于,40.71,三新文化图书专营店,10+
数据科学实战手册 R+,48.20,人民邮电出版社65周年社庆,1.3万+
自动化平台测试开发,139.80,荣丰通达图书专营店,0
与量化投资从基础到实战+量化交易+,329.00,书海寻梦图书专营店,0
包邮 量化投资 以,65.80,弗洛拉图书专营店,90+
自动化运维,44.80,文轩网旗舰店,60+
机器学习基础教程,62.30,人民邮电出版社65周年社庆,5.5万+
 3爬虫 数据清洗与可视化实战,36.80,旷氏文豪图书专营店,20+
包邮 从零开始学,62.60,兰兴达图书专营店,2
O'Reilly：,113.10,机械工业出版社,8600+
Head First ,93.70,中国电力出版社,2.5万+
数据结构 ,54.40,人民邮电出版社65周年社庆,14万+
数据分析与挖掘实战,47.90,机械工业出版社,1.8万+
与量化投资：从基础到实战,79.90,电子工业出版社,1.5万+
绝技：运用,63.80,电子工业出版社,1.3万+
数据结构——,50.30,文轩网旗舰店,3
学习手册(第4版),94.01,北方文艺出版社图书旗舰店,0
正版 从零开始学,53.50,蓝墨水图书专营店,10+
现货 ,33.00,经纶风图书专营店,30+
项目开发实战（第2版）,62.30,人民邮电出版社65周年社庆,400+
 ,68.00,弗洛拉图书专营店,5
包邮 ,100.00,一键团图书专营店,90+
编程基础,32.50,人民邮电出版社65周年社庆,700+
深度实践OpenStack：基于,65.20,机械工业出版社,100+
流利的,74.34,火把图书专营店,3
机器学习实战（,57.27,友杰图书专营店,6
机器学习实践：测试驱动的开发方法,45.80,机械工业出版社,2.6万+
教孩子学编程,39.50,墨马图书旗舰店,40+
OpenCV3计算机视觉：,38.30,金帛三木图书专营店,1
PyQt5快速开发与实战,80.90,电子工业出版社,2300+
现货 ,66.00,经纶风图书专营店,40+
数据可视化编程实战 第2版 ,48.80,蓝墨水图书专营店,10+
爬虫开发 从入门到实战（微课版）,40.70,人民邮电出版社65周年社庆,20+
基础教程 第3版,81.20,实验图书专营店,4
流利的,74.34,火把图书专营店,3
[二手] ,89.10,盛况空前图书专营店,0
应用开发实战,64.50,人民邮电出版社65周年社庆,200+
现货包邮 ,58.80,兰兴达图书专营店,20+
树莓派,53.00,书虫图书专营店,5
数据分析基础,78.30,,100+
图灵程序设计丛书·,38.60,人民邮电出版社65周年社庆,900+
趣学,36.80,人民邮电出版社65周年社庆,1100+
神经网络编程 深度学习 人工智能 机器学习入门教程书籍 ,40.70,五星同辉图书专营店,10+
包邮 ,89.00,蓝墨水图书专营店,40+
测试驱动开发 第2版 Django Selenium和JavaScri,87.00,书虫图书专营店,0
 3.5从零开始学 ,39.80,蓝墨水图书专营店,80+
[图书],158.00,互动创新图书专营店,0
深度学习入门 基于,44.20,墨马图书旗舰店,10+
跟老齐学,65.60,天都图书专营店,2
精通,35.50,人民邮电出版社65周年社庆,600+
社会媒体挖掘 ,48.80,蓝墨水图书专营店,0
 3.7 从零开始学  计算机 互联网 程序设计 编程语言 Pyth,60.20,书虫图书专营店,7
【RY】预售 数据结构 ,34.50,三新文化图书专营店,0
PyQt5快速开发与实战 PyQt5教程书籍 qt基础知识 ,74.00,墨马图书旗舰店,0
趣学,30.10,闻知图书专营店,0
算法图解,38.60,人民邮电出版社65周年社庆,4.5万+
包邮 ,59.00,墨马图书旗舰店,2200+
 Cookbook（第3版）中文版,88.20,人民邮电出版社65周年社庆,5300+
数据科学手册,85.90,,1.1万+
教孩子学编程 ,48.20,人民邮电出版社65周年社庆,2.2万+
父与子的编程之旅：与小卡特一起学,54.40,人民邮电出版社65周年社庆,2.2万+
2本 ,129.80,华心图书专营店,100+
数据分析基础 教材 专科教材 工学 编程语言 学习,37.22,书虫图书专营店,2
区域包邮贝叶斯思维:统计建模的,73.00,蓝墨水图书专营店,8
包邮跟老齐学,189.80,旷氏文豪图书专营店,70+
程序员面试算法宝典,45.50,旷氏文豪图书专营店,0
机器人,49.40,电子工业出版社,300+
跟老齐学,154.80,荣丰通达图书专营店,0
"基础教程(第2版,修订版)+",144.18,墨渊图书专营店,0
核心编程第3版+编程快速上手 +,264.00,品阅轩图书专营店,8
我的,56.40,人民邮电出版社65周年社庆,70+
编程从入门到精通,64.50,,0
跟老齐学,34.50,电子工业出版社官方旗舰店,0
传智播客,298.00,赣江图书专营店,10+
新手使用Django架站的16堂课,71.20,清华大学出版社,1200+
语言及其应用,55.70,文轩网旗舰店,60+
包邮 教孩子学编程,42.00,华纳博文图书专营店,5
算法图解 代码示例基于,35.00,华心图书专营店,3
毫无障碍学,39.90,五星同辉图书专营店,0
包邮玩转Django 2.0+玩转,99.00,书海寻梦图书专营店,0
程序设计 (美)施耐德著 中文版 ,60.00,学源图书专营店,0
正版 ,48.20,多远图书专营店,6
正版 ,83.20,恒久图书专营店,0
机器学习基础教程,77.40,凤凰新华书店旗舰店,0
教孩子学编程(,42.69,火把图书专营店,2
Selenium自动化测试 基于 ,36.60,华文兄弟图书专营店,0
6本 micro:bit入门指南+机器人,258.80,蓝墨水图书专营店,2
编程入门（第3版）,30.70,人民邮电出版社65周年社庆,800+
网络数据采集,41.90,文轩网旗舰店,300+
项目开发实战 第2版 日 BePROUD股份有限公司,59.80,南源图书专营店,2
现货  ,33.00,经纶风图书专营店,10+
人民邮电：,69.00,新世纪图书专营店,0
深度学习 基于,35.70,书虫图书专营店,0
包邮 ,34.30,互动创新图书专营店,0
基于,38.40,华心图书专营店,8
零起点,69.30,旷氏文豪图书专营店,10+
 量化投资 以,65.80,弗洛拉图书专营店,90+
包邮 ,62.30,互动创新图书专营店,10+
零基础学,58.50,文轩网旗舰店,10+
OpenCV算法精解：基于,55.80,蓝墨水图书专营店,30+
程序员入门 全9册 Java+C语言+,492.20,墨马图书旗舰店,2
零起点,56.40,和生源图书专营店,1
程序设计开发宝典,61.40,清华大学出版社,500+
 网络爬虫实战,50.20,清华大学出版社,1500+
面向ArcGIS的,30.90,文轩网旗舰店,20+
编程之美：最佳实践指南,71.80,电子工业出版社,1.1万+
码农翻身：用故事给技术加点料,55.70,电子工业出版社,3.2万+
图灵教育 和孩子一起玩编程 趣学,51.80,人民邮电出版社官方旗舰店,20+
（正版）,61.41,三新文化图书专营店,0
包邮,68.00,互动创新图书专营店,100+
数据分析与挖掘实战 张良均 机械工业出版社,60.00,芝麻开门图书专营店,0
包邮,112.00,蓝墨水图书专营店,70+
测试驱动开发 第2版 Django Selenium和JavaScri,87.00,书虫图书专营店,0
数据处理 爬虫抓取数据清洗与分析方法,70.70,华心图书专营店,10+
“笨办法”学,28.42,博远慧达图书专营店,30+
数据科学入门,56.40,人民邮电出版社65周年社庆,80+
笨办法学,48.80,鼎甲图书专营店,3
NLTK基础教程 用NLTK和,40.00,人民邮电出版社65周年社庆,400+
数据结构 ,65.55,碧海箫音图书专营店,2
机器学习实战（,57.27,友杰图书专营店,6
 3网络爬虫开发实战+爬虫 数据清洗与可视化实战+,149.00,蓝墨水图书专营店,20+
数据分析与挖掘实战 计算机与互联网 书籍|4894338,48.30,互动出版网图书专营店,300+
+Spark 2.0+Hadoop机器学习与大数据实战 林大贵 计算机与互联,64.30,文轩网旗舰店,20+
正版 Pythan爬虫开发 从入门到实战（微课版） 计算机网络 程序设计 ,35.90,弗洛拉图书专营店,0
机器学习,44.10,文轩网教育考试专营店,2
现货 流畅的,99.00,兴阅图书专营店,10+
机器学习 预测分析核心算法 [美] Michael Bowles   鲍尔斯,54.30,智博天恒图书专营店,0
学习手册：第4版(涵盖,74.00,末桥图书专营店,0
我的,141.80,蓝墨水图书专营店,0
正版 ,86.90,世纪书缘专营店,1
从零开始学,46.90,旷氏文豪图书专营店,40+
从零开始学,59.00,旷氏文豪图书专营店,0
玩转,51.80,墨马图书旗舰店,0
基于,56.50,文轩网教育考试专营店,0
(正版特价)精通,31.75,互动出版网图书专营店,7
正版 ,69.00,江西赣江图书专营店,0
现货 ,29.00,经纶风图书专营店,0
云原生：构建应对海量用户数据的高可扩展Web应用,70.20,电子工业出版社,100+
 3学习笔记（上卷）,72.70,电子工业出版社,800+
包邮 ,47.00,互动创新图书专营店,60+
【RY】,34.50,三新文化图书专营店,0
编程导论 以,49.80,蓝墨水图书专营店,10+
与神经网络实战+,103.60,旷氏文豪图书专营店,0
编程入门(第3版)  ,29.80,兴阅图书专营店,4
包邮 ,102.90,旷氏文豪图书专营店,0
教孩子学编程,45.00,葫芦弟弟图书专营店,70+
【RY】正版 ,34.50,三新文化图书专营店,0
【RY】【R】精通,29.50,三新文化图书专营店,0
基础教程 第3版,78.21,北方文艺出版社图书旗舰店,3
数据分析与应用,35.90,文轩网旗舰店,0
【正版包邮】,67.40,杭州中信图书专营店,0
数据挖掘入门与实践 ,39.80,五星同辉图书专营店,0
基础教程第3版 ,59.00,五星同辉图书专营店,0
包邮 量化交易之路+量化投资+零起点,214.80,旷氏文豪图书专营店,10+
爬虫开发与项目实战 范传辉 编著 编程语言 机械工业出版社,66.00,芝麻开门图书专营店,0
语言在Abaqus中的应用(含光盘) 【新华书店官方正版】快速建模 访问输出数据库 外部,47.00,暗香盈袖图书专营店,3
神经网络编程 深度学习人工智能机器学习入门教程书籍,48.00,蓝墨水图书专营店,90+
包邮玩转Django 2.0 +跟老齐学,99.00,蓝墨水图书专营店,0
基础教程(第3版)/图灵程序设计丛书,65.00,火把图书专营店,7
语言程序设计基础(第2版)嵩天 ,30.50,华纳博文图书专营店,20+
正版包邮自动化平台测试开发,136.60,蓝墨水图书专营店,0
和孩子一起玩编程 中小学编程入门书 趣学,50.00,赣江图书专营店,30+
利用,59.00,静默时光图书专营店,1
包邮 ,40.60,春雨图书专营店,3
正版 ,43.80,恒久图书专营店,0
网络编程(第3版),57.70,文轩网旗舰店,10+
与量化投资 从基础到实战,74.00,华心图书专营店,0
学习手册 第4版 ,88.90,华心图书专营店,0
基础教程 第3版 ,63.36,品轩图书专营店,0
数据科学手册（影印版 英文版）,87.80,,10+
程序员面试算法宝典 ,46.60,蓝墨水图书专营店,0
编程基础,36.00,人民邮电出版社官方旗舰店,1
绝技运用,54.00,华研外语官方旗舰店,0
零起点,71.20,文轩网旗舰店,40+
基础教程 第3版,70.80,品阅轩图书专营店,5
流畅的,89.00,北京金鼎祥图书专营店,1
编程入门 全3册 ,160.90,墨马图书旗舰店,40+
青少年学,59.20,墨马图书旗舰店,0
科学计算(第2版),76.70,文轩网旗舰店,100+
数据分析：基于Plotly的动态可视化绘图,71.10,电子工业出版社,200+
趣学,41.30,墨马图书旗舰店,5
核心编程 第3版 英文版,80.90,人民邮电出版社65周年社庆,500+
和孩子一起玩编程 中小学编程入门书 趣学,50.00,赣江图书专营店,30+
和Pygame游戏开发指南,48.20,人民邮电出版社65周年社庆,400+
 3.0科学计算指南,56.40,人民邮电出版社65周年社庆,60+
Keras深度学习实战人工智能深度学习教程Keras快速上手基于Keras的,41.80,蓝墨水图书专营店,0
深度学习 deep learning with ,82.00,五星同辉图书专营店,0
自动化运维技术与最佳实践 程序设计编程,51.60,华心图书专营店,0
毫无障碍学,42.50,蓝墨水图书专营店,60+
机械工业：,45.50,新世纪图书专营店,0
【北京发货】,34.80,南源图书专营店,0
金融实战,49.80,文轩网旗舰店,10+
计算机视觉编程,48.20,文轩网旗舰店,40+
Effective ,46.60,文轩网教育考试专营店,2
深度学习实战,51.40,文轩网旗舰店,0
数据科学导论,48.70,机械工业出版社,60+
编程 从入门到实践 核心编程语言书籍 计算机程序设计从零到精通到实践手册,79.00,鼎甲图书专营店,200+
基于,59.30,,4700+
编程 从入门到实践,70.20,人民邮电出版社65周年社庆,14万+
基础教程（第3版）,78.00,人民邮电出版社65周年社庆,14万+
零基础学,56.40,明日科技自营店,3.3万+
利用,95.80,机械工业出版社,2.6万+
核心编程（第3版）,78.00,人民邮电出版社65周年社庆,14万+
笨办法学,48.20,人民邮电出版社65周年社庆,14万+
从入门到项目实践（全彩版）,77.00,明日科技自营店,3.3万+
 3网络爬虫开发实战,78.00,人民邮电出版社65周年社庆,9800+
编程（第4版 套装上下册）,157.00,中国电力出版社,2.5万+
基础实例教程（微课版）,40.30,文轩网教育考试专营店,0
流畅的,154.80,文轩网旗舰店,20+
与量化投资,53.50,文轩网旗舰店,50+
 3.6零基础入门与实战,50.20,清华大学出版社,10+
